,still,still_music,hand_up,hand_down,walking,running,after_sprint,tapping_fingers,tapping_foot,flexing
236,23.61,22.55,23.74,-19.21,21.39,21.85,22.97,23.6,23.73,20.3
237,21.96,20.32,22.07,-18.84,18.78,19.15,20.95,23.35,22.12,21.79
238,19.6,17.38,19.67,-13.07,15.53,15.69,18.22,22.47,19.79,23.32
239,16.56,13.78,16.58,-2.25,11.68,11.51,14.83,20.9,16.76,24.84
240,12.89,9.67,12.86,11.47,7.42,6.81,10.87,18.6,13.09,26.29
241,8.76,5.23,8.68,24.63,2.93,1.78,6.54,15.58,8.94,27.56
242,4.34,0.67,4.22,33.89,-1.57,-3.3,2.01,11.95,4.5,28.56
243,-0.18,-3.81,-0.32,37.34,-5.88,-8.19,-2.48,7.78,-0.04,29.13
244,-4.55,-7.98,-4.73,35.15,-9.8,-12.65,-6.73,3.29,-4.45,29.17
245,-8.6,-11.66,-8.78,29.17,-13.16,-16.5,-10.54,-1.32,-8.53,28.56
246,-12.13,-14.69,-12.33,21.73,-15.87,-19.63,-13.8,-5.84,-12.09,27.24
247,-15.02,-17.0,-15.22,14.57,-17.87,-21.98,-16.4,-10.04,-15.01,25.15
248,-17.17,-18.53,-17.38,8.33,-19.14,-23.53,-18.33,-13.71,-17.18,22.35
249,-18.58,-19.28,-18.78,2.85,-19.7,-24.29,-19.58,-16.7,-18.58,18.89
250,-19.23,-19.33,-19.42,-2.16,-19.64,-24.35,-20.18,-18.91,-19.23,14.93
251,-19.21,-18.77,-19.4,-6.56,-19.05,-23.78,-20.2,-20.26,-19.21,10.64
252,-18.61,-17.72,-18.82,-9.73,-18.03,-22.66,-19.7,-20.77,-18.65,6.24
253,-17.53,-16.31,-17.83,-11.02,-16.69,-21.16,-18.77,-20.47,-17.71,1.97
254,-16.11,-14.68,-16.56,-10.25,-15.14,-19.42,-17.52,-19.47,-16.5,-1.97
255,-14.46,-12.95,-15.12,-7.96,-13.48,-17.62,-16.07,-17.88,-15.13,-5.38
256,-12.71,-11.19,-13.59,-5.19,-11.77,-15.89,-14.51,-15.84,-13.68,-8.11
257,-10.96,-9.44,-12.01,-3.03,-10.02,-14.31,-12.93,-13.49,-12.15,-10.06
258,-9.27,-7.67,-10.37,-2.18,-8.23,-12.89,-11.38,-10.97,-10.55,-11.22
259,-7.62,-5.91,-8.66,-2.59,-6.4,-11.61,-9.85,-8.38,-8.84,-11.59
260,-6.02,-4.15,-6.89,-3.71,-4.51,-10.4,-8.35,-5.79,-7.07,-11.27
261,-4.43,-2.4,-5.09,-4.68,-2.58,-9.2,-6.85,-3.29,-5.28,-10.41
262,-2.8,-0.65,-3.31,-4.94,-0.6,-7.99,-5.35,-0.87,-3.5,-9.16
263,-1.09,1.1,-1.57,-4.3,1.4,-6.85,-3.81,1.4,-1.77,-7.74
264,0.7,2.82,0.12,-3.09,3.39,-5.91,-2.29,3.48,-0.06,-6.36
265,2.56,4.54,1.79,-1.88,5.34,-5.28,-0.82,5.39,1.63,-5.21
266,4.45,6.28,3.48,-1.26,7.28,-4.97,0.55,7.16,3.39,-4.48
267,6.38,8.16,5.27,-1.54,9.31,-4.87,1.86,8.82,5.28,-4.28
268,8.4,10.07,7.28,-2.65,11.37,-4.89,3.18,10.45,7.36,-4.73
269,10.45,12.06,9.43,-4.27,13.51,-4.79,4.55,12.11,9.53,-5.89
270,12.56,14.1,11.66,-5.89,15.73,-4.41,6.05,13.89,11.68,-7.8
271,14.77,16.2,13.89,-7.05,18.05,-3.72,7.72,15.9,13.73,-10.44
272,17.1,18.34,16.05,-7.36,20.43,-2.89,9.56,18.08,15.64,-13.71
273,19.52,20.52,18.13,-6.58,22.83,-2.22,11.46,20.39,17.45,-17.4
274,21.95,22.76,20.16,-4.64,25.21,-2.01,13.24,22.84,19.26,-21.24
275,24.35,25.17,22.27,-1.64,27.66,-2.35,14.77,25.4,21.27,-24.83
276,26.71,27.92,24.66,2.09,30.35,-3.1,16.04,28.07,23.67,-27.71
277,29.24,30.93,27.56,6.07,33.21,-4.15,17.28,30.86,26.64,-29.38
278,31.85,34.15,30.8,9.71,36.27,-5.15,18.5,33.76,29.94,-29.57
279,34.67,37.55,34.21,12.48,39.58,-5.77,19.91,36.85,33.3,-28.11
280,37.82,41.04,37.58,14.0,43.08,-5.94,21.66,40.25,36.48,-24.94
281,41.36,44.49,40.71,14.14,46.63,-5.93,23.74,43.78,39.33,-20.16
282,45.19,47.8,43.46,13.02,50.05,-6.23,25.91,47.36,41.82,-13.98
283,49.07,50.94,45.89,10.88,53.23,-7.31,27.81,51.01,44.13,-6.65
284,52.79,54.06,48.24,8.09,56.24,-9.35,29.13,54.75,46.59,1.56
285,56.25,57.51,50.91,4.96,59.43,-12.1,29.82,58.69,49.59,10.45
286,59.67,61.15,54.32,1.79,62.74,-15.49,30.19,62.9,53.43,19.85
287,63.0,65.05,58.26,-1.17,66.34,-18.99,30.36,67.53,57.67,29.32
288,66.5,69.16,62.41,-3.65,70.32,-22.1,30.69,72.71,61.83,38.46
289,70.47,73.32,66.34,-5.45,74.56,-24.61,31.47,78.7,65.4,46.94
290,74.98,77.24,69.62,-6.48,78.73,-26.68,32.68,85.16,68.05,54.49
291,79.77,80.62,71.94,-6.71,82.39,-28.8,33.9,91.92,69.75,60.94
292,84.3,83.32,73.33,-6.24,85.19,-31.66,34.5,98.88,70.82,66.35
293,87.97,85.4,74.19,-5.22,87.12,-36.0,33.89,105.96,71.83,70.97
294,90.46,87.28,75.1,-3.87,88.59,-42.49,31.88,113.09,73.39,75.29
295,92.0,88.74,76.73,-2.39,89.63,-51.91,28.86,120.23,75.88,79.92
296,92.6,89.8,78.76,-0.98,90.49,-63.73,24.9,127.42,78.6,84.85
297,92.75,90.26,80.62,0.24,91.26,-76.12,20.45,134.72,80.63,90.02
298,92.89,89.69,81.46,1.15,91.53,-86.24,15.79,142.36,81.01,95.15
299,92.99,87.34,80.28,1.66,90.36,-91.1,10.79,149.85,78.93,99.81
